gpsfilename;frame;lat;lon;frame_del;min;max;thickness
_3_ 09.04.2016 5_40_27.gps;689;51.86900167;105.0871333;689;3.3;5.16;16
_3_ 09.04.2016 5_40_27.gps;707;51.86897833;105.087255;707;3.19;4.91;15
_3_ 09.04.2016 5_40_27.gps;725;51.868955;105.087375;725;3.22;3.94;6
_6_ 09.04.2016 7_03_43.gps;28;52.02587833;105.4452367;28;2.47;5.5;27
_6_ 09.04.2016 7_03_43.gps;63;52.02591833;105.4453417;63;2.52;5.69;28
_6_ 09.04.2016 7_03_43.gps;103;52.02595667;105.4454433;103;2.61;5.83;28
_6_ 09.04.2016 7_03_43.gps;194;52.02599667;105.445545;194;2.58;5.97;30
_6_ 09.04.2016 7_03_43.gps;237;52.026035;105.4456433;237;2.58;6.47;35
_6_ 09.04.2016 7_03_43.gps;279;52.026075;105.4457433;279;2.52;6.88;39
_6_ 09.04.2016 7_03_43.gps;321;52.026115;105.4458417;321;2.55;6.38;34
_6_ 09.04.2016 7_03_43.gps;364;52.02615667;105.445935;364;2.52;5.58;27
_6_ 09.04.2016 7_03_43.gps;450;52.02619833;105.4460283;450;2.55;6.5;35
_6_ 09.04.2016 7_03_43.gps;492;52.02624;105.4461183;492;2.55;6.55;36
_6_ 09.04.2016 7_03_43.gps;532;52.02628;105.4462067;532;2.61;5.91;29
_6_ 09.04.2016 7_03_43.gps;574;52.02632167;105.4462967;574;2.55;6.61;36
_6_ 09.04.2016 7_03_43.gps;619;52.02636333;105.4463883;619;2.55;5.88;29
_6_ 09.04.2016 7_03_43.gps;702;52.02640333;105.4464833;702;2.58;5.8;28
_6_ 09.04.2016 7_03_43.gps;742;52.02644333;105.4465783;742;2.58;6.11;31
_6_ 09.04.2016 7_03_43.gps;781;52.02648333;105.4466733;781;2.61;7.02;39
_6_ 09.04.2016 7_03_43.gps;822;52.02652333;105.4467617;822;2.58;6.94;39
_6_ 09.04.2016 7_03_43.gps;867;52.026565;105.446855;867;2.52;6.33;34
_6_ 09.04.2016 7_03_43.gps;955;52.02660667;105.44695;955;2.55;6.66;36
_6_ 09.04.2016 7_03_43.gps;996;52.02664667;105.447045;996;2.5;6.63;37
_6_ 09.04.2016 7_03_43.gps;1041;52.02668833;105.4471383;1041;2.58;6.55;35
_6_ 09.04.2016 7_03_43.gps;1081;52.02672667;105.447235;1081;2.58;6.33;33
_6_ 09.04.2016 7_03_43.gps;1121;52.02676667;105.4473367;1121;2.58;6.55;35
_6_ 09.04.2016 7_03_43.gps;1204;52.026805;105.4474367;1204;2.55;5.8;29
_6_ 09.04.2016 7_03_43.gps;1245;52.026845;105.4475367;1245;2.47;6.88;39
_6_ 09.04.2016 7_03_43.gps;1288;52.02688333;105.4476383;1288;2.55;6.55;36
_6_ 09.04.2016 7_03_43.gps;1327;52.02692;105.44774;1327;2.58;6.52;35
_6_ 09.04.2016 7_03_43.gps;1371;52.02695833;105.4478433;1371;2.58;6.75;37
_6_ 09.04.2016 7_03_43.gps;1460;52.026995;105.4479483;1460;2.61;6.33;33
_6_ 09.04.2016 7_03_43.gps;1500;52.02703333;105.448055;1500;2.63;6.83;37
_6_ 09.04.2016 7_03_43.gps;1542;52.02707333;105.4481567;1542;2.61;6.36;33
_6_ 09.04.2016 7_03_43.gps;1583;52.02711333;105.4482583;1583;2.58;6.91;38
_6_ 09.04.2016 7_03_43.gps;1627;52.02715333;105.4483567;1627;2.8;6.63;34
_6_ 09.04.2016 7_03_43.gps;1713;52.02719333;105.44846;1713;2.58;6.44;34
_6_ 09.04.2016 7_03_43.gps;1751;52.027235;105.4485633;1751;2.58;6.66;36
_6_ 09.04.2016 7_03_43.gps;1794;52.027275;105.448665;1794;2.61;6.3;33
_6_ 09.04.2016 7_03_43.gps;1834;52.02731667;105.4487683;1834;2.58;5.77;28
_6_ 09.04.2016 7_03_43.gps;1884;52.02735833;105.4488717;1884;2.61;6.5;35
_6_ 09.04.2016 7_03_43.gps;1962;52.02740167;105.4489717;1962;2.58;6.55;35
